2023-01-26 15:04:53 INFO  Benchmark_Timer - Begin run: testWaitPeriods with 2 runs
2023-01-26 15:23:08 INFO  TimeLogger - Raw time per run (mSec):  100.00
2023-01-26 15:23:08 INFO  TimeLogger - Normalized time per run (n^2):  1600.00
2023-01-26 15:23:08 INFO  TimeLogger - Raw time per run (mSec):  100.00
2023-01-26 15:23:08 INFO  TimeLogger - Normalized time per run (n^2 log n):  200.86
2023-01-26 15:23:09 INFO  TimeLogger - Raw time per run (mSec):  100.00
2023-01-26 15:23:09 INFO  TimeLogger - Normalized time per run (n^3):  6.40
2023-01-26 15:23:09 INFO  TimeLogger - Raw time per run (mSec):  50.00
2023-01-26 15:23:09 INFO  TimeLogger - Normalized time per run (n^2):  200.00
2023-01-26 15:23:09 INFO  TimeLogger - Raw time per run (mSec):  50.00
2023-01-26 15:23:09 INFO  TimeLogger - Normalized time per run (n^2 log n):  22.31
2023-01-26 15:23:10 INFO  TimeLogger - Raw time per run (mSec):  50.00
2023-01-26 15:23:10 INFO  TimeLogger - Normalized time per run (n^3):  .40
2023-01-26 15:23:10 INFO  TimeLogger - Raw time per run (mSec):  20.00
2023-01-26 15:23:10 INFO  TimeLogger - Normalized time per run (n^2):  20.00
2023-01-26 15:23:10 INFO  TimeLogger - Raw time per run (mSec):  20.00
2023-01-26 15:23:10 INFO  TimeLogger - Normalized time per run (n^2 log n):  2.01
2023-01-26 15:23:14 INFO  TimeLogger - Raw time per run (mSec):  20.00
2023-01-26 15:23:14 INFO  TimeLogger - Normalized time per run (n^3):  .02
2023-01-26 15:23:14 INFO  TimeLogger - Raw time per run (mSec):  10.00
2023-01-26 15:23:14 INFO  TimeLogger - Normalized time per run (n^2):  2.50
2023-01-26 15:23:15 INFO  TimeLogger - Raw time per run (mSec):  10.00
2023-01-26 15:23:15 INFO  TimeLogger - Normalized time per run (n^2 log n):  .23
2023-01-26 15:23:28 INFO  TimeLogger - Raw time per run (mSec):  10.00
2023-01-26 15:23:28 INFO  TimeLogger - Normalized time per run (n^3):  .00
2023-01-26 15:23:28 INFO  TimeLogger - Raw time per run (mSec):  5.00
